,Breckenridge,Park City,Telluride,Vail,Big Sky,Lake Tahoe
Peak Days,"Christmas, NYE","Christmas, NYE, Sundance","Christmas, NYE, 
Bluegrass, Ride","Christmas, NYE","Christmas, NYE","Christmas, NYE, 
4th of July"
Winter Season,Nov 21-Mar 31,Nov 25-Mar 31,Nov 21-Mar 31,Nov 21-Mar 31,Nov 25-Mar 31,"Thanksgiving, 
Dec 15-Mar 31"
Summer Season,June 16-Aug 20,June 10-Sep 5,June 16-Aug 20,June 16-Aug 20,"Apr 1-Apr 15, May 25-Jun 10
Sep 6-Oct 10, Nov 16-Nov 25",May 25-Sep 10
High Shoulder,"Apr 1-Apr 20, Jun 1-Jun 15
Aug 21-Oct 10, Nov 11-Nov 20","Apr 1-Apr 15, May 25-Jun 10
Sep 6-Oct 10, Nov 16-Nov 25","Apr 1-Apr 20, Jun 1-Jun 15
Aug 21-Oct 10, Nov 11-Nov 20","Apr 1-Apr 20, Jun 1-Jun 15
Aug 21-Oct 10, Nov 11-Nov 20","Apr 15-May 24
Oct 11-Nov 15","Apr 1-Apr 10, May 11-May 24
Sep 11-Oct 10"
Low Shoulder,"Apr 21-May 31
Oct 11-Nov 10","Apr 15-May 24
Oct 11-Nov 15","""Apr 21-May 31
Oct 11-Nov 10""","Apr 21-May 31
Oct 11-Nov 10",June 10-Sep 5,"Apr 11-May 10
Oct 11-Dec 15"